date	image_id	description	page	landed_in	name
2026-09-09	156956276	Building contractor worker measuring for cuts on the joist rim board on a new home construction project	https://www.shutterstock.com/image-photo/156956276	hero/general-contractors	c-hands-and-level
2026-09-09	1689896371	Mature smiling couple meeting financial advisor for investment at office	https://www.shutterstock.com/image-photo/1689896371	hero/wealth-management	c-two-chairs
2026-09-09	621757868	Thoughtful businessman sitting in the office and doing the paperwork at night	https://www.shutterstock.com/image-photo/621757868	hero/desk	personal-injury--desk
2026-09-09	632850491	Big finance building with darken shadows and blue sky	https://www.shutterstock.com/image-photo/632850491	hero/wealth-management	b-calm-geometry
2026-09-09	1660820368	The dentist's hands are working on making denture to replace the patient	https://www.shutterstock.com/image-photo/1660820368	library/cosmetic-dentists/belmont-smile-design	lab-bench
2026-09-09	1620592039	Student dentist is working on the creation of artificial teeth	https://www.shutterstock.com/image-photo/1620592039	library/cosmetic-dentists (+aldridge-dental)	lab-bench
2026-09-09	1235455225	Medicine, business and healthcare concept - modern medical office interior	https://www.shutterstock.com/image-photo/1235455225	library/dermatology	reception (was shared w/ colvin-dermatology)
2026-09-09	1852646650	Low angle closeup of surgeon's hands passing surgical scissor, OR lights	https://www.shutterstock.com/image-photo/1852646650	library/plastic-surgeons	gloved-hands (was shared w/ aldenmore-surgical-aesthetics)
2026-09-09	310410335	Veterinarian with stethoscope examining dachshund dog at vet clinic	https://www.shutterstock.com/image-photo/310410335	library/veterinary/hollis-animal-hospital	dachshund-exam
2026-09-09	351134228	Woman and vet with stethoscope checking dachshund dog health	https://www.shutterstock.com/image-photo/351134228	library/veterinary/fernhill-veterinary	vet-dachshund
2026-09-09	429490246	Close up of veterinarian with stethoscope examining dachshund dog	https://www.shutterstock.com/image-photo/429490246	library/veterinary/marlow-veterinary-clinic	exam-dachshund
2026-09-09	310410347	Veterinarian holding dachshund dog at vet clinic	https://www.shutterstock.com/image-photo/310410347	library/veterinary/willowbank-animal-hospital	dachshund-exam
2026-09-09	334446632	Veterinarian doctor with stethoscope checking scottish fold kitten	https://www.shutterstock.com/image-photo/334446632	library/veterinary/beckett-animal-care	kitten-stethoscope
2026-09-09	335716280	Woman and veterinarian with stethoscope checking scottish fold kitten	https://www.shutterstock.com/image-photo/335716280	library/veterinary/fernhill-veterinary	kitten-exam
2026-09-09	1939464019	Happy female vet smiling and petting a beautiful beagle dog	https://www.shutterstock.com/image-photo/1939464019	library/veterinary/hollis-animal-hospital	beagle-first-visit (was shared w/ corner-oak-veterinary)
2026-09-09	449398345	Happy veterinarian with golden retriever dog at vet clinic	https://www.shutterstock.com/image-photo/449398345	library/veterinary/beckett-animal-care	exam-room-chihuahua (was shared w/ hollis-animal-hospital's ultrasound-room)
2026-09-09	451382845	Veterinarian examining German Shepherd dog with sore mouth	https://www.shutterstock.com/image-photo/451382845	library/veterinary/beckett-animal-care	dentistry-loupe
2026-09-09	182261246	Dog during otoscope examination with male vet	https://www.shutterstock.com/image-photo/182261246	library/veterinary/marlow-veterinary-clinic	dental-check (was shared w/ hollis-animal-hospital & beckett-animal-care)
2026-09-09	155538086	Cavalier King Charles Spaniel puppy in front of a veterinarian	https://www.shutterstock.com/image-photo/155538086	library/veterinary/willowbank-animal-hospital	lab-puppy (was shared w/ fernhill-veterinary)
2026-09-09	192265442	Kitten having a check-up at veterinary office	https://www.shutterstock.com/image-photo/192265442	library/veterinary/willowbank-animal-hospital	grey-kitten (was shared w/ fernhill-veterinary)
2026-09-09	182261111	Female vet during examining dog with stethoscope	https://www.shutterstock.com/image-photo/182261111	library/veterinary/willowbank-animal-hospital	ultrasound (was shared w/ marlow-veterinary-clinic)
