vertical,page_slug,domain,action
accounting-cpas,ashby-and-kerr-cpas,ashbyandkerr.com,keep name
accounting-cpas,brandt-and-yoo-cpas,brandtandyoo.com,keep name
accounting-cpas,corven-cpa-group,corvencpagroup.com,keep name
accounting-cpas,halstead-accounting,halsteadaccounting.com,keep name
accounting-cpas,latimer-accounting,aldrichcpagroup.com,RENAME
accounting-cpas,rennick-cpa,rennickcpa.com,keep name
architecture,ansel-row-studio,anselrow.com,keep name
architecture,calderwood-architecture,calderwoodarchitecture.com,keep name
architecture,halloway-and-prentiss,hallowayandprentiss.com,keep name
architecture,merton-field-architects,mertonfield.com,keep name
architecture,ostergaard-architects,ostergaardarchitects.com,keep name
architecture,pell-and-marchant,pellandmarchant.com,keep name
cosmetic-dentists,aldridge-dental,aldridgedental.com,keep name
cosmetic-dentists,belmont-smile-design,belmontsmile.com,keep name
cosmetic-dentists,callaway-dental-arts,callawaydentalarts.com,keep name
cosmetic-dentists,fairmont-dental-studio,fairmontdentalstudio.com,keep name
cosmetic-dentists,havenwood-dental,havenwooddental.com,keep name
cosmetic-dentists,verano-cosmetic-dentistry,veranocosmetic.com,keep name
custom-home-builders,coulter-and-vane-homes,coulterandvane.com,keep name
custom-home-builders,farrow-ridge-builders,farrowridge.com,keep name
custom-home-builders,kingsmere-build,kingsmerebuild.com,keep name
custom-home-builders,latham-homes,bexfordhomes.com,RENAME
custom-home-builders,sable-creek-homes,sablecreekhomes.com,keep name
custom-home-builders,wyndham-custom-homes,wyndhamcustom.com,keep name
dermatology,colvin-dermatology,colvindermatology.com,keep name
dermatology,fenmore-dermatology,fenmoredermatology.com,keep name
dermatology,harrowgate-dermatology,harrowgatedermatology.com,keep name
dermatology,larkin-dermatology,larkindermatology.com,keep name
dermatology,sundial-dermatology,sundialdermatology.com,keep name
dermatology,westbrook-skin-and-surgery,westbrookskinandsurgery.com,keep name
general-contractors,bexley-build-group,bexleybuildgroup.com,keep name
general-contractors,granby-construction,carrowbuildgroup.com,RENAME
general-contractors,halverson-build-co,halversonbuildco.com,keep name
general-contractors,marrant-construction,marrantconstruction.com,keep name
general-contractors,threshold-builders,denbybuilders.com,RENAME
general-contractors,whitfield-build-co,whitfieldbuildco.com,keep name
hvac,beacon-comfort-co,beaconcomfortco.com,keep name
hvac,ironwood-heating-and-air,ironwoodheatingandair.com,keep name
hvac,nightingale-heating-and-air,nightingaleheatingandair.com,keep name
hvac,sutter-heating-and-cooling,sutterheatingandcooling.com,keep name
hvac,trueline-heating-and-air,truelineheatingandair.com,keep name
hvac,vantage-air-systems,vantageairsystems.com,keep name
interior-design,bramble-and-stone,fenwickandyates.com,RENAME
interior-design,fairholme-design-co,fairholmedesignco.com,keep name
interior-design,ivory-lane-interiors,garrickinteriors.com,RENAME
interior-design,nocturne-interiors,havelockdesignhouse.com,RENAME
interior-design,sorrel-studio,jarrowstudio.com,RENAME
interior-design,wren-and-alder,morrowandkell.com,RENAME
luxury-real-estate,ashcroft-residential,ashcroftresidential.com,keep name
luxury-real-estate,bellamy-estates,kelsdonestates.com,RENAME
